date,source,server,timeouts,failures
2020-10-01,op-hk5,public,0.00709219858156,0
2020-10-01,op-nl5,public,0,0
2020-10-01,op-us5,public,0.00709219858156,0
2020-10-02,op-hk5,public,0.007042253521127,0
2020-10-02,op-nl5,public,0,0
2020-10-02,op-us5,public,0,0
2020-10-03,op-hk5,public,0.006944444444444,0
2020-10-03,op-nl5,public,0,0
2020-10-03,op-us5,public,0.013888888888889,0
2020-10-04,op-hk5,public,0,0
2020-10-04,op-nl5,public,0.006711409395973,0
2020-10-04,op-us5,public,0,0
2020-10-05,op-hk5,public,0.006451612903226,0
2020-10-05,op-nl5,public,0,0
2020-10-05,op-us5,public,0,0
2020-10-06,op-hk5,public,0.007142857142857,0
2020-10-06,op-nl5,public,0,0
2020-10-06,op-us5,public,0,0
2020-10-07,op-hk5,public,0,0
2020-10-07,op-nl5,public,0,0
2020-10-07,op-us5,public,0.02112676056338,0
2020-10-08,op-hk5,public,0,0
2020-10-08,op-nl5,public,0,0
2020-10-08,op-us5,public,0,0
2020-10-09,op-hk5,public,0,0
2020-10-09,op-nl5,public,0,0
2020-10-09,op-us5,public,0.013793103448276,0
2020-10-10,op-hk5,public,0.00709219858156,0
2020-10-10,op-nl5,public,0,0
2020-10-10,op-us5,public,0,0
2020-10-11,op-hk5,public,0.012738853503185,0
2020-10-11,op-nl5,public,0,0
2020-10-11,op-us5,public,0,0
2020-10-12,op-hk5,public,0,0
2020-10-12,op-nl5,public,0,0
2020-10-12,op-us5,public,0.006896551724138,0
2020-10-13,op-hk5,public,0,0
2020-10-13,op-nl5,public,0,0
2020-10-13,op-us5,public,0,0
2020-10-14,op-hk5,public,0,0
2020-10-14,op-nl5,public,0,0
2020-10-14,op-us5,public,0,0
2020-10-15,op-hk5,public,0.007874015748032,0
2020-10-15,op-nl5,public,0.015873015873016,0
2020-10-15,op-us5,public,0,0
2020-10-16,op-hk5,public,0,0
2020-10-16,op-nl5,public,0,0
2020-10-16,op-us5,public,0,0
2020-10-17,op-hk5,public,0.013605442176871,0
2020-10-17,op-nl5,public,0.041095890410959,0
2020-10-17,op-us5,public,0,0
2020-10-18,op-hk5,public,0.005952380952381,0
2020-10-18,op-nl5,public,0,0
2020-10-18,op-us5,public,0,0
2020-10-19,op-hk5,public,0,0
2020-10-19,op-nl5,public,0,0
2020-10-19,op-us5,public,0,0
2020-10-20,op-hk5,public,0,0
2020-10-20,op-nl5,public,0,0
2020-10-20,op-us5,public,0,0
2020-10-21,op-hk5,public,0,0
2020-10-21,op-nl5,public,0,0
2020-10-21,op-us5,public,0,0
2020-10-22,op-hk5,public,0.006578947368421,0
2020-10-22,op-nl5,public,0.013071895424837,0
2020-10-22,op-us5,public,0.006578947368421,0
2020-10-23,op-hk5,public,0,0
2020-10-23,op-nl5,public,0,0
2020-10-23,op-us5,public,0,0
2020-10-24,op-hk5,public,0.007142857142857,0
2020-10-24,op-nl5,public,0,0
2020-10-24,op-us5,public,0,0
2020-10-25,op-hk5,public,0.006896551724138,0
2020-10-25,op-nl5,public,0.006896551724138,0
2020-10-25,op-us5,public,0.006896551724138,0
2020-10-26,op-hk5,public,0.00625,0
2020-10-26,op-nl5,public,0,0
2020-10-26,op-us5,public,0,0
2020-10-27,op-hk5,public,0.014388489208633,0
2020-10-27,op-nl5,public,0,0
2020-10-27,op-us5,public,0.02158273381295,0
2020-10-28,op-hk5,public,0,0
2020-10-28,op-nl5,public,0,0
2020-10-28,op-us5,public,0.006289308176101,0
2020-10-29,op-hk5,public,0.006896551724138,0
2020-10-29,op-nl5,public,0.006896551724138,0
2020-10-29,op-us5,public,0.006896551724138,0
2020-10-30,op-hk5,public,0,0
2020-10-30,op-nl5,public,0,0
2020-10-30,op-us5,public,0,0
2020-10-31,op-hk5,public,0,0
2020-10-31,op-nl5,public,0,0
2020-10-31,op-us5,public,0,0
2020-11-01,op-hk5,public,0.013698630136986,0
2020-11-01,op-nl5,public,0,0
2020-11-01,op-us5,public,0,0
2020-11-02,op-hk5,public,0.006756756756757,0
2020-11-02,op-nl5,public,0,0
2020-11-02,op-us5,public,0.006756756756757,0
2020-11-03,op-hk5,public,0.006993006993007,0
2020-11-03,op-nl5,public,0.020979020979021,0
2020-11-03,op-us5,public,0,0
2020-11-04,op-hk5,public,0,0
2020-11-04,op-nl5,public,0.00763358778626,0
2020-11-04,op-us5,public,0.00763358778626,0
2020-11-05,op-hk5,public,0,0
2020-11-05,op-nl5,public,0,0
2020-11-05,op-us5,public,0,0
2020-11-06,op-hk5,public,0,0
2020-11-06,op-nl5,public,0,0
2020-11-06,op-us5,public,0.231884057971014,0
2020-11-07,op-hk5,public,0,0
2020-11-07,op-nl5,public,0.006896551724138,0
2020-11-07,op-us5,public,0,0
2020-11-08,op-hk5,public,0,0
2020-11-08,op-nl5,public,0.013793103448276,0
2020-11-08,op-us5,public,0,0
2020-11-09,op-hk5,public,0,0
2020-11-09,op-nl5,public,0.007407407407407,0
2020-11-09,op-us5,public,0,0
2020-11-10,op-hk5,public,0.007575757575758,0
2020-11-10,op-nl5,public,0,0
2020-11-10,op-us5,public,0,0
2020-11-11,op-hk5,public,0,0
2020-11-11,op-nl5,public,0,0
2020-11-11,op-us5,public,0.006578947368421,0
2020-11-12,op-hk5,public,0.006535947712418,0
2020-11-12,op-nl5,public,0,0
2020-11-12,op-us5,public,0,0
2020-11-13,op-hk5,public,0.007194244604317,0
2020-11-13,op-nl5,public,0,0
2020-11-13,op-us5,public,0,0
2020-11-14,op-hk5,public,0,0
2020-11-14,op-nl5,public,0.013513513513514,0
2020-11-14,op-us5,public,0.013513513513514,0
2020-11-15,op-hk5,public,0,0
2020-11-15,op-nl5,public,0,0
2020-11-15,op-us5,public,0.006802721088435,0
2020-11-16,op-hk5,public,0,0
2020-11-16,op-nl5,public,0,0
2020-11-16,op-us5,public,0,0
2020-11-17,op-hk5,public,0,0
2020-11-17,op-nl5,public,0,0
2020-11-17,op-us5,public,0,0
2020-11-18,op-hk5,public,0,0
2020-11-18,op-nl5,public,0,0
2020-11-18,op-us5,public,0.007194244604317,0
2020-11-19,op-hk5,public,0,0
2020-11-19,op-nl5,public,0.006849315068493,0
2020-11-19,op-us5,public,0.006849315068493,0
2020-11-20,op-hk5,public,0,0
2020-11-20,op-nl5,public,0,0
2020-11-20,op-us5,public,0.007407407407407,0
2020-11-21,op-hk5,public,0,0
2020-11-21,op-nl5,public,0,0
2020-11-21,op-us5,public,0,0
2020-11-22,op-hk5,public,0,0
2020-11-22,op-nl5,public,0,0
2020-11-22,op-us5,public,0,0
2020-11-23,op-hk5,public,0,0
2020-11-23,op-nl5,public,0.013605442176871,0
2020-11-23,op-us5,public,0.013605442176871,0
2020-11-24,op-hk5,public,0,0
2020-11-24,op-nl5,public,0.006896551724138,0
2020-11-24,op-us5,public,0,0
2020-11-25,op-hk5,public,0.015625,0
2020-11-25,op-nl5,public,0,0
2020-11-25,op-us5,public,0,0
2020-11-26,op-hk5,public,0.007142857142857,0
2020-11-26,op-nl5,public,0.00709219858156,0
2020-11-26,op-us5,public,0.050359712230216,0
2020-11-27,op-hk5,public,0,0
2020-11-27,op-nl5,public,0,0
2020-11-27,op-us5,public,0,0
2020-11-28,op-hk5,public,0,0
2020-11-28,op-nl5,public,0.007194244604317,0
2020-11-28,op-us5,public,0.014285714285714,0
2020-11-29,op-hk5,public,0,0
2020-11-29,op-nl5,public,0,0
2020-11-29,op-us5,public,0,0
2020-11-30,op-hk5,public,0,0
2020-11-30,op-nl5,public,0.013793103448276,0
2020-11-30,op-us5,public,0,0
2020-12-01,op-hk5,public,0.007575757575758,0
2020-12-01,op-nl5,public,0.015267175572519,0
2020-12-01,op-us5,public,0.007518796992481,0
2020-12-02,op-hk5,public,0,0
2020-12-02,op-nl5,public,0,0
2020-12-02,op-us5,public,0.018633540372671,0
2020-12-03,op-hk5,public,0,0
2020-12-03,op-nl5,public,0,0
2020-12-03,op-us5,public,0,0
2020-12-04,op-hk5,public,0.055555555555556,0
2020-12-04,op-nl5,public,0,0
2020-12-04,op-us5,public,0.013888888888889,0
2020-12-05,op-hk5,public,0,0
2020-12-05,op-nl5,public,0,0
2020-12-05,op-us5,public,0.006896551724138,0
2020-12-06,op-hk5,public,0,0
2020-12-06,op-nl5,public,0.007407407407407,0
2020-12-06,op-us5,public,0,0
2020-12-07,op-hk5,public,0,0
2020-12-07,op-nl5,public,0.006756756756757,0
2020-12-07,op-us5,public,0.006756756756757,0
2020-12-08,op-hk5,public,0,0
2020-12-08,op-nl5,public,0,0
2020-12-08,op-us5,public,0.006622516556291,0
2020-12-09,op-hk5,public,0,0
2020-12-09,op-nl5,public,0,0
2020-12-09,op-us5,public,0.022556390977444,0
2020-12-10,op-hk5,public,0,0
2020-12-10,op-nl5,public,0,0
2020-12-10,op-us5,public,0,0
2020-12-11,op-hk5,public,0.006802721088435,0
2020-12-11,op-nl5,public,0,0
2020-12-11,op-us5,public,0,0
2020-12-12,op-hk5,public,0,0
2020-12-12,op-nl5,public,0,0
2020-12-12,op-us5,public,0.006756756756757,0
2020-12-13,op-hk5,public,0,0
2020-12-13,op-nl5,public,0,0
2020-12-13,op-us5,public,0,0
2020-12-14,op-hk5,public,0,0
2020-12-14,op-nl5,public,0,0
2020-12-14,op-us5,public,0,0
2020-12-15,op-hk5,public,0.006944444444444,0
2020-12-15,op-nl5,public,0,0
2020-12-15,op-us5,public,0.006944444444444,0
2020-12-16,op-hk5,public,0,0
2020-12-16,op-nl5,public,0,0
2020-12-16,op-us5,public,0,0
2020-12-17,op-hk5,public,0,0
2020-12-17,op-nl5,public,0.226666666666667,0
2020-12-17,op-us5,public,0,0
2020-12-18,op-hk5,public,0,0
2020-12-18,op-nl5,public,0.006535947712418,0
2020-12-18,op-us5,public,0.006493506493506,0
2020-12-19,op-hk5,public,0,0
2020-12-19,op-nl5,public,0.022556390977444,0
2020-12-19,op-us5,public,0.052631578947368,0
2020-12-20,op-hk5,public,0,0
2020-12-20,op-nl5,public,0.022058823529412,0
2020-12-20,op-us5,public,0.222222222222222,0
2020-12-21,op-hk5,public,0.006493506493506,0
2020-12-21,op-nl5,public,0,0
2020-12-21,op-us5,public,0.006451612903226,0
2020-12-22,op-hk5,public,0.007142857142857,0
2020-12-22,op-nl5,public,0,0
2020-12-22,op-us5,public,0,0
2020-12-23,op-hk5,public,0,0
2020-12-23,op-nl5,public,0.00709219858156,0
2020-12-23,op-us5,public,0,0
2020-12-24,op-hk5,public,0.035460992907801,0
2020-12-24,op-nl5,public,0.007042253521127,0
2020-12-24,op-us5,public,0.00709219858156,0
2020-12-25,op-hk5,public,0.025,0
2020-12-25,op-nl5,public,0,0
2020-12-25,op-us5,public,0,0
2020-12-26,op-hk5,public,0.00709219858156,0
2020-12-26,op-nl5,public,0,0
2020-12-26,op-us5,public,0,0
2020-12-27,op-hk5,public,0,0
2020-12-27,op-nl5,public,0,0
2020-12-27,op-us5,public,0,0
2020-12-28,op-hk5,public,0,0
2020-12-28,op-nl5,public,0.014184397163121,0
2020-12-28,op-us5,public,0.007142857142857,0
2020-12-29,op-hk5,public,0,0
2020-12-29,op-nl5,public,0,0
2020-12-29,op-us5,public,0,0
2020-12-30,op-hk5,public,0.012987012987013,0
2020-12-30,op-nl5,public,0.006493506493506,0
2020-12-30,op-us5,public,0.006535947712418,0
2020-12-31,op-hk5,public,0,0
2020-12-31,op-nl5,public,0,0
2020-12-31,op-us5,public,0.006944444444444,0
,,,,
,,,,
,,,1.82692981000661,
